id,decisions,caseno,title,type,claimant,econsector,instrumentinvk1,instrumentinvk2,partiessub,respondent,rulesapplied,seatarbitration,status,subject
338,,ARB/10/9,"Universal Compression International Holdings, S.L.U. v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/10/9)","","Universal Compression International Holdings, S.L.U.","Oil, Gas & Mining","BIT Spain - Venezuela,  Republica Bolivariana de 1995","",,VEN,ICSID Convention - Arbitration Rules,"",Pending,Oil and gas enterprise
327,,ARB/10/17,Renée Rose Levy de Levi v. Republic of Peru (ICSID Case No. ARB/10/17),"",Renée Rose Levy de Levi,Finance,BIT France - Peru 1993,"",,PER,ICSID Convention - Arbitration Rules,"",Concluded,Banking enterprise
307,,UNCT/13/1,"The Renco Group, Inc. v. Republic of Peru (ICSID Case No. UNCT/13/1)","","The Renco Group, Inc.","Oil, Gas & Mining","",FTA Peru – United States of America 2006,,PER,UNCITRAL,"Paris, France",Concluded,Mining company
309,,ARB/11/7,National Gas S.A.E. v. Arab Republic of Egypt (ICSID Case No. ARB/11/7),"",National Gas S.A.E.,"Oil, Gas & Mining","BIT Egypt,  Arab Republic of - United Arab Emirates 1997","",,EGY,ICSID Convention - Arbitration Rules,"",Concluded,Gas pipelines construction and operation agreement
306,,ARB/11/9,Caravelí Cotaruse Transmisora de Energía S.A.C. v. Republic of Peru  (ICSID Case No. ARB/11/9),"",Caravelí Cotaruse Transmisora de Energía S.A.C.,Electric Power & Other Energy,"",Contract,,PER,ICSID Convention - Arbitration Rules,"",Concluded,Electricity transmission agreements
305,,ARB/11/10,"The Williams Companies, International Holdings B.V., WilPro Energy Services (El Furrial) Limited and WilPro Energy Services (Pigap II) Limited v. Bolivarian Republic of Venezuela (ICSID Case No. ARB/11/10)","","The Williams Companies, International Holdings B.V., WilPro Energy Services (El Furrial) Limited and WilPro Energy Services (Pigap II) Limited","Oil, Gas & Mining","BIT Netherlands - Venezuela,  Republica Bolivariana de 1991","",,VEN,ICSID Convention - Arbitration Rules,"",Concluded,Gas compression and injection enterprises
304,,ARB/11/11,AHS Niger and Menzies Middle East and Africa S.A.  v. Republic of Niger (ICSID Case No. ARB/11/11),"",AHS Niger and Menzies Middle East and Africa S.A.,Services & Trade,"","Contract, Investment Law - Niger (1989)",,Republic of Niger,ICSID Convention - Arbitration Rules,"",Concluded,Ground handling services
302,,ARB/11/12,Fraport AG Frankfurt Airport Services Worldwide v. Republic of the Philippines (ICSID Case No. ARB/11/12),"",Fraport AG Frankfurt Airport Services Worldwide,Transportation,BIT Germany - Philippines 1997,"",,PHL,ICSID Convention - Arbitration Rules,"",Concluded,Construction of an airport terminal
303,,ARB(AF)/11/3,"Vincent J. Ryan, Schooner Capital LLC, and Atlantic Investment Partners LLC v. Republic of Poland  (ICSID Case No. ARB(AF)/11/3)","","Vincent J. Ryan, Schooner Capital LLC, and Atlantic Investment Partners LLC","Agriculture, Fishing & Forestry",BIT United States of America - Poland 1990,"",,POL,ICSID Additional Facility - Arbitration Rules,"Paris, France",Concluded,Vegetable oil production and processing enterprise
298,,ARB/11/15,Ekran Berhad v. People's Republic of China (ICSID Case No. ARB/11/15),"",Ekran Berhad,Services & Trade,"BIT China - Israel 1995, BIT Malaysia - China 1988","",,CHN,ICSID Convention - Arbitration Rules,"",Concluded,Arts and culture facilities
